a,"n.(A)As 或 A's  安(ampere);(a) art.一;n.字母A /[军] Analog.Digital,模拟/数字 /(=account of) 帐上"
aaal,American Academy of Arts and Letters 美国艺术和文学学会
aachen, 亚琛[德意志联邦共和国西部城市]
aacs,Airways and Air Communications Service (美国)航路与航空通讯联络处
aah," [军]Armored Artillery Howitzer,装甲榴弹炮;[军]Advanced Attack Helicopter,先进攻击直升机"
aal,"ATM Adaptation Layer,ATM适应层"
aapamoor,"n.[生]丘泽,高低位镶嵌沼泽"
aapss,American Academy of Political and Social Science 美国政治和社会科学研究院
aar,"n.阿勒河(位于瑞士中部,亦作Aare)"
aardvark,n.[动]土豚
aardwolf,n.[动]土狼
aare, 阿勒河[瑞士中部]
aarnet,"the Australian Academic and Research Network,澳大利亚科研网"
aaron,"n.[圣经]亚伦(摩西之兄,犹太教的第一祭司长)"
aaronic,adj.亚伦的
aarp,"AppleTalk Address Resolution Protocol,AppleTalk地址解析协议"
aasvogel,n.[动]南非秃鹫
aau,Amateur Athletic Union (of the United States) (美国)业余体育联合会
aaui,"Apple attachment unit interface,Apple插件单元接口"
aaup,American Association of University Professors 美国大学教授联合会
aauw,American Association of University Women 美国大学妇女联合会
ab," [军] Airborne,空运 (历法)阿布月(即犹太教历5月)"
aba,"n.毛织物,(阿拉伯式)长袍"
abac," <英>(=nomogram)[数]算图,诺模图"
abaca,"n.[植]马尼拉麻,麻蕉"
abaci,n.算盘(abacus的复数)
abacist,n.用算盘者
aback,adv.向后地
abacterial,adj.非细菌性的
abactinal,adj.无触角的
abacus,n.算盘
abaddon,"n.[圣经]地狱,魔鬼(地狱里的魔王)"
abaft,adv.向船尾;prep.在...后
abalienate,"v.[律]移转,让渡(产权或财产)"
abalone,n.<美>[动]鲍鱼(软体动物)
abampere,n.[电] 电磁安(培)(1电磁安=10安)
abandon,"vt.放弃,遗弃;n.放任,狂热"
abandoned,"adj.被抛弃的,自甘堕落的,没有约束的,放荡的"
abandonee,"n.被遗弃者,被委付者"
abandoner,"n.遗弃者,委付者"
abandonment,n.放弃
abaptiston,n.圆锯(用于脑部手术)
abas,vt.打倒
abasable,"adj.可贬黜的,可降低的"
abase,v.降低
abasement,n.降低
abash,"vt.使局促不安,使困窘"
abashed,"adj.不安的,窘迫的"
abashment,"n.羞愧,害臊"
abasia,n.[医] (神经系统疾病引发的)步行不能
abask,adv.暖洋洋地
abatage,n.(=abattage)为防止传染而屠杀有病的牲畜
abate,"vt.使(数量、程度等)减少,减轻,除去,缓和,打折扣vi.(数量、程度等)减少,减轻,失效,缓和,(法令等)被废除"
abatement,n.消除
abattage,n.为防止传染而被屠杀的有病之牲畜
abattis,n.=abatis
abattoir,"n.<法>屠宰场,(拳击,摔跤,斗牛等的)角斗场"
abaxial,adj.离轴的
abaya,n.=aba
abb,"n.横丝,纬纱,劣质羊毛"
abba,n.神父
abbacy,n.男修道院院长的职位、管区、任期
abbatial,adj.修道院长的
abbe,"n.男修道院院长,僧侣,神父"
abbess,"n.女修道院院长,女庵主持"
abbevillian,adj.&n.阿布维利文化(的)(指欧洲旧石器时代初期较早阶段的文化)
abbey,"n.修道院,修道士(总称)"
abbeystead,n.修道院所在地
abborrent,嫌恶的
abbot,"n.修道院,修道士的总称"
abbr,缩写(abbreviation)
abbreviate,"v.缩写,缩短,简化,简写成,缩写为"
abbreviated,"adj.简短的,仅可蔽体的,小型的"
abbreviation,"n.缩写,缩写词"
abbreviationist,"n.提倡缩写字的人,惯用缩写字的人"
abbreviative,"adj.缩写的,缩略的"
abbreviator,n.缩写者
abbreviatory,"adj.缩写的,缩略的,省略的"
abby,n.艾比(Abigail 的昵称)(f.)
abc,"n.字母表,基本知识 美国广播公司 澳大利亚广播公司;automatic brightness control,自动亮度调节"
abcd,Accelerated Business Collection and Delivery (美国邮局采用的)加快收寄投递系统
abcoulomb,"n.C.G.S(厘米一克一秒)制的电荷单位,电磁库仑(1电磁库仑=10库仑)"
abd,n.准博士
abdias,n.=Obadiah
abdicable,"adj.可放弃的,可辞职的"
abdicant,n.退位者adj.逊位的
abdicate,"v.退位,放弃(职位,权力等)"
abdication,"n.退位,让位"
abdicator,"n.让位者,放弃者"
abdiel,n.神仆
abdomen,"n.腹,腹部"
abdominal,adj.腹部的
abdomino," comb. form表示""腹(部)"""
abdominous,"adj.大肚子的,肥胖的"
abduce,"v.[生理]使外转,外展,把.引开"
abducens,"n.[解](=abducens nerve)外展神经,外展肌肉"
abducent,adj.向外扩展的
abduct,"vt.诱拐,绑架"
abduction,"n.诱拐,诱导"
abductor,n.诱拐者
abe,"n.亚伯,Abraham 的昵称"
abeam,adv.adj.与船的龙骨成直角
abecedarian,"n.初学者,学字母者adj.字母的,初步的"
abecedarium,"n.入门书,初级读物"
abed,"adv.在床上,卧病在床"
abednego,"n.[宗]亚伯尼歌(基督教<<圣经>>中被Nebuchadnezzar 俘获的三人之一,从烈火的炉中走出而未受伤)"
abegging,adj.[一般作表语] &adv.无人问津的(地)
abel,n.亚伯
abele,n.[植]银白杨(=white poplar)
abelmosk,n.[植]黄葵
abend," 异常结束,异常终止"
abeokuta, 阿贝奥库塔[尼日利亚西南部城市]
aberdeenshire, 阿伯丁郡[英国苏格兰原郡名]
aberdevine,n.金翅雀(产于欧洲)
aberdonian,n.(苏格兰港市)阿伯丁人;adj.阿伯丁人的
aberglaube,n.<德>迷信
abernethy,n.硬饼干
aberrance,"n.脱离正道,越轨,反常,[生物]变异,畸变"
aberrancy,"n.脱离正道,偏离常轨,反常"
aberrant,adj.异常的
aberrated,adj.=aberrant
aberration,n.失常
abet,"vt.教唆,煽动,帮助,支持"
abetment,"n.教唆,煽动,帮助,支持"
abettal,n.=abetment
abetter,"n.教唆者,怂恿者"
abettor,n.教唆犯
abeyance,"n.暂时无效,中止,归属待定"
abeyant,"adj.中止的,暂时搁置的"
abfarad,n.C.G.S(厘米一克一秒)制电容量单位(等于十亿法拉)
abgrenzung, <德>n.(主张将民主德国与联邦德国永久分离的) 分立政策
abhenry,n.[电]电磁亨(利)
abherent,"n.信徒,追随者,拥护者"
abhor,"vt.憎恶,痛恨"
abhorrence,"n.痛恨,憎恶"
abhorrent,"adj.可恶的,格格不入的"
abhorrer,"n.憎恶者,厌恶者"
abidance,"n.持续,遵守,居住"
abide,"vi.坚持,遵守;vt.忍受,容忍"
abiding,v.容忍;adj.持久的
abidingly,"adv.永久地,不变地"
abidjan, 阿比让[科特迪瓦首都]
abigail,n.(贵妇人的贴身)使女
ability,"n.能力,才干"
abiochemistry,"n.无机化学,无生化学"
abiogenesis,n.自然发生
abiogenetic,"adj.自然发生的,偶发的,自然发生论的;adj.[生]自然发生的,无生源说的"
abiogenist,"n.自然发生论者,偶发论者"
abiogeny,"n.(=abiogenesis)自然发生,自然发生论"
abiological,adj.非生物的
abiosis,n.无生命
abiotic,"adj.无生命的,非生物的"
abiotrophy,"n.[医]营养性衰竭,生活力缺失"
abirritant,"adj.减轻刺激的,缓和的"
abirritate,"vt.减轻刺激,缓和"
abirritation,"n.镇痛作用,缓和作用"
abirritative,"adj.镇静的,消除紧张的"
abject,"adj.卑鄙的,可怜的"
abjection,"n.卑鄙,抛弃,驱逐,落魄"
abjective,"adj.不幸的,令人沮丧的"
abjectly,"adv.悲惨地,卑鄙地"
abjuration,"n.放弃,发誓断绝"
abjure,"vt.发誓放弃,避免,公开放弃"
abkhazian,"n.阿布哈西亚人,阿布哈西亚语;adj.阿布哈西亚的"
ablactate,v.使断奶
ablactation,n.断奶
ablare,"adj.喧闹的;adv.喧哗地,吵闹地"
ablastin,n.[生]抑殖素
ablate,v.融化
ablation,"n.消融,切除"
ablatival,adj.离格的
ablative,adj.离格的;n.离格
ablator,"n.[空]烧蚀挡板(太空船外部的防热物质),烧灼体,烧灼材料"
ablaut,n.[语音]元音变换
ablaze,"adj.adv.着火的,激动的,闪耀的"
able,"adj.能...的,有才能的,能干的,能够的"
ablebodied,"adj.强壮的,强健的"
ablegate,"n.天主教教宗为某特殊任务而派遣外地之特使,罗马教皇特使"
ablepharous,adj.[医]没有眼睑的(畸形)
ablepsia,"n.[医](=ablepsy)失明,视觉缺失"
ablins,"adv.<苏>也许,大概"
abloom,adv.开花;adj.开花的
abluent,n.洗洁剂;adj.洗净的
ablush,adj.(因羞愧、窘迫等而)脸红的adv.脸红
abluted,"adj.被洗净的,被冲洗掉的"
ablution,n.清洗
ablutionary,"adj.沐浴的,洗礼的"
ably,"adv.能干地,巧妙地"
abm," [军] AntiBallistic Missile,反弹道导弹; Asynchronous Balanced Mode 异步对称模式"
abmigration,n.反常迁徙(指去秋不曾南飞候鸟今夏的北飞)
abn,airborne
abnaki,"n.(北美印第安)阿布纳基族,阿布纳基人(语)"
abnegate,v.放弃
abnegation,n.放弃
abnegator,"n.拒绝者,放弃者"
abnormal,"adj.反常的,变态的"
abnormalcy,"n.(=abnormality)反常,畸形"
abnormalism,"n.变态性,反常性"
abnormality,"n.变态n.畸形,异常性"
abnormity,"n.异常,不规则,异形"
abo,"adj.<澳> (=aborigine) 土佬(对澳洲土著的蔑称)的 (Abo)adj.(AuE) 当地的,土著的,土著居民的"
aboard,"adv.在船(飞机、车)上,上船(飞机、车) prep.在(船、飞机、车)上,上(船、飞机、车)"
aboardage,n.两船接近于平行时的相撞
abode,"n.住所,住处"
abohm,"n.绝对欧姆(亦称作:电磁欧姆,等于十亿分之一欧姆)"
aboideau,"n.低地防潮之堤坝,水闸"
aboil,"adj.沸腾的,激烈的;adv.沸腾着"
aboiteau,n.=aboideau
abolish,"vt.废止,废除(法律、制度、习俗等)"
abolishable,"adj.可废止的,可取消的"
abolisher,n.废除者
abolishment,"n.废止,革除,取消"
abolition,"n.废除, 废除奴隶制度"
abolitionism,"n.废除主义,废奴主义"
abolitionist,"n.废除主义者,废奴主义者"
abolitionize,v.使赞成废除黑奴制度
abomasum,n.皱胃(反刍动物胃的第四部分)
abominable,"adj.讨厌的,令人憎恶的"
abominably,"adv.可恶地,可恨地,极端地"
abominate,"vt.痛恨,憎恶"
abomination,"n.憎恨,厌恶,可憎的事物"
abominator,"n.憎恶者,嫌恶者"
aborad,"adv.离口侧,对口侧"
aboral,"adj.离口的,对口的"
aborally,"adv.离口地,对口地"
aborative,"adj.仔细的,精心的,煞费苦心的"
aboriginal,"adj.土著的,原来的n.土著居民"
aboriginality,"n.原始状态,本土性"
aboriginally,"adv.从最初,原来"
aborigines,"n.土著,原居民,(Aborigines)澳大利亚土著居民,(pl.)土生动物(或植物)群"
aborning,adj.产生中的
abort,"vi.异常中断,中途失败,夭折,流产,发育不全n.中止计划[任务]"
abortarium,n.<美>堕胎医院
aborted,"adj.流产的,失败的"
aborticide,"n.[医]堕胎,堕胎药"
abortifacient,n.[医]堕胎药;adj.堕胎的
abortion,"n.流产,堕胎,失败,夭折,中止,早产"
abortionism,"n.有权流产主义,对流产权的支持"
abortionist,n.(尤指非法)为人堕胎者
abortive,"adj.早产的,流产的,失败的;adj.夭折的,异常终止的,中断的"
abortively,"adv.流产地,失败地"
abortus,n.流产胎
abought, vbl.abye的过去式及过去分词
aboulia,n.意志力丧失
abound,"vi.多,大量存在,富于,充满"
abounding,"adj.丰富的,大量的"
about,"adv.附近,大约,转向,左右,周围;prep.在附近,关于,在...周围,忙于"
above,"adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出"
aboveboard,adj.光明正大的
aboveground,"adv.在地上,未被埋葬地,活着"
abovestairs,"n.主卧房,楼上房间;adj.在楼上的adv.在楼上"
abracadabra,"n.咒语,胡言乱语"
abradant,adj.摩擦着的;n.磨蚀剂
abrade,"v.磨损,摩擦,折磨"
abrader,"n.磨石,研磨器"
abraham,n.[圣经]亚伯拉罕(相传为希伯来人的始祖)
abram,n.艾布拉姆(Abraham 的异体) (m.)
abranchial,"adj.[动] 无鳃的,无鳃类的"
abranchiate,n.[动]无鳃动物
abrase,"v.(=abrade)磨损,擦去"
abraser,"n.(=abrader)磨石,研磨器"
abrasion,n.磨损
abrasive,n.研磨剂;adj.研磨的
abraxas,"n.古时刻在玉石上避邪的文字,刻有这种符的玉石"
abrazo, <西>n.(尤指表示欢迎的)拥抱
abreact,"vt.使消散,发泄(被压抑的情感等)"
abreaction,"n.消散,(情感,情绪等的)发泄"
abreast,"adv.并肩地,并排地"
abri,"n.避难所,防空洞"
